[rosmaster.main][INFO] 2025-04-19 02:54:37,539: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-04-19 02:54:37,539: Starting ROS Master Node
[xmlrpc][INFO] 2025-04-19 02:54:37,540: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-04-19 02:54:37,540: Started XML-RPC server [http://kaust-ROG-Strix-G713RC-G713RC:11311/]
[rosmaster.master][INFO] 2025-04-19 02:54:37,541: Master initialized: port[11311], uri[http://kaust-ROG-Strix-G713RC-G713RC:11311/]
[xmlrpc][INFO] 2025-04-19 02:54:37,541: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-04-19 02:54:37,564: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,564: +PARAM [/roslaunch/uris/host_kaust_rog_strix_g713rc_g713rc__36181] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/ground_truth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/ground_truth_base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/wait_for_transform_duration] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/wait_imu_to_init] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/approx_sync] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/approx_sync_max_interval] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/config_path] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/topic_queue_size] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/sync_queue_size] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/subscribe_rgbd] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/guess_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/guess_min_translation] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/guess_min_rotation] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/expected_update_rate] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/max_update_rate] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rgbd_odometry/keep_color] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rtabmap/subscribe_depth] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rtabmap/subscribe_rgb] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,617: +PARAM [/rtabmap/rtabmap/subscribe_rgbd] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,618: +PARAM [/rtabmap/rtabmap/subscribe_stereo] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,618: +PARAM [/rtabmap/rtabmap/subscribe_scan] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,618: +PARAM [/rtabmap/rtabmap/subscribe_scan_cloud] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,618: +PARAM [/rtabmap/rtabmap/subscribe_scan_descriptor] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,618: +PARAM [/rtabmap/rtabmap/subscribe_user_data] by /roslaunch
[rosmaster.master][INFO] 2025-04-19 02:54:37,618: +PARAM [/rtabmap/rtabmap/subscribe_odom_info] by /roslaunch
